Source JSON Level,DHDP Data Group,DHDP Data Catalog Identifier,OMOP Table,Target Field,Instruction,MOHCCN Source Schema,Source Field,Value,Vocab,Requirement Rule,Description
,,Patient Death - Cause Of Death (Text From Source),,cause_source_value,Copy Value,Donor,cause_of_death,,,,
,MOHCCN Donor Incomplete Modeling,,,?,,Donor,lost_to_followup_after_clinical_event_identifier,,,,
,,,,?,,Donor,lost_to_followup_reason,,,,
,,,,?,,Donor,date_alive_after_lost_to_followup,,,,
$.donors[].primary_diagnoses[],OMOP Primary Dx Condition,,_global_vars,N/A,Save To Global Vars,Primary Diagnosis,submitter_primary_diagnosis_id,,,Skip Record,
,,,condition_occurrence,condition_occurrence_id,Generate Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,,,Skip Record,
,,Primary Diagnosis - Condition (Code),,condition_concept_id,Concept ID By Code,Primary Diagnosis,cancer_type_code,,ICD10,Placeholder:{missing_concept_id_value},
,,Primary Diagnosis - Condition (Text From Source),,condition_source_value,Copy Value,Primary Diagnosis,cancer_type_code,,,,
,,Primary Diagnosis - Diagnosis Date,,condition_start_date,Calculate Date From Interval,Primary Diagnosis,date_of_diagnosis,,,Placeholder:{missing_date_value},
,,,,condition_status_concept_id,Fixed Value,N/A,N/A,32902,Condition Status,,Primary Diagnosis
,OMOP Primary Dx Episode,,episode,episode_id,Generate Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,,,Skip Record,
,,,,episode_concept_id,Fixed Value,N/A,N/A,32528,Episode,,Disease First Occurrence
,,,,episode_source_concept_id,Fixed Value,N/A,N/A,0,,,
,,,,episode_object_concept_id,Concept ID By Code,Primary Diagnosis,cancer_type_code,,ICD10,Placeholder:{missing_concept_id_value},
,,,,episode_number,Fixed Value,N/A,N/A,1,,,
,,,,episode_start_date,Copy Value,N/A,N/A,{fixed_date},,,
,,,,episode_end_date,Copy Value,N/A,N/A,{fixed_date},,,
,OMOP Primary Dx Episode / Condition Event,,episode_event,episode_id,Get Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,OMOP Primary Dx Episode,,Skip Record,
,,,,event_id,Get Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,OMOP Primary Dx Condition,,Skip Record,
,,,,episode_event_field_concept_id,Fixed Value,N/A,N/A,1147127,CDM,,condition_occurrence.condition_occurrence_id
,OMOP Primary Dx Initial Diagnosis Measurement,,measurement,measurement_id,Generate Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,,,Skip Record,
,,,,measurement_concept_id,Fixed Value,N/A,N/A,734306,Cancer Modifier,,Initial Diagnosis
,,,,measurement_date,Copy Value,N/A,N/A,{fixed_date},,,
,,,,measurement_event_id,Get Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,OMOP Primary Dx Condition,,Skip Record,
,,,,meas_event_field_concept_id,Fixed Value,N/A,N/A,1147127,CDM,,condition_occurrence.condition_occurrence_id
,,Primary Diagnosis - Basis of Diagnosis (Code),,value_as_concept_id,Concept ID By Term,Primary Diagnosis,basis_of_diagnosis,,,,
,,Primary Diagnosis - Basis of Diagnosis (Text),,value_source_value,Copy Value,Primary Diagnosis,basis_of_diagnosis,,,,
,OMOP Primary Dx Laterality Measurement,,measurement,measurement_id,Generate Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,,,Skip Record,
,,,,measurement_concept_id,Fixed Value,N/A,N/A,35918306,NAACCR,,Laterality
,,,,measurement_date,Copy Value,N/A,N/A,{fixed_date},,,
,,,,measurement_event_id,Get Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,OMOP Primary Dx Condition,,Skip Record,
,,,,meas_event_field_concept_id,Fixed Value,N/A,N/A,1147127,CDM,,condition_occurrence.condition_occurrence_id
,,Primary Diagnosis - Disease Laterality (Code),,value_as_concept_id,Concept ID By Term,Primary Diagnosis,laterality,,,Skip Record,
,,Primary Diagnosis - Disease Laterality (Text From Source),,value_source_value,Copy Value,Primary Diagnosis,laterality,,,,
,OMOP Primary Dx Site Observation,,observation,observation_id,Generate Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,,,Skip Record,
,,,,observation_concept_id,Fixed Value,N/A,N/A,3011717,LOINC,,Primary site Cancer
,,,,observation_date,Copy Value,N/A,N/A,{fixed_date},,,
,,Primary Diagnosis - Primary Site (Code),,value_as_concept_id,Concept ID By Term,Primary Diagnosis,primary_site,,,Skip Record,
,,Primary Diagnosis - Primary Site (Text From Source),,value_source_value,Copy Value,Primary Diagnosis,primary_site,,,,
,,,,observation_event_id,Get Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,OMOP Primary Dx Condition,,Skip Record,
,,,,obs_event_field_concept_id,Fixed Value,N/A,N/A,1147127,CDM,,condition_occurrence.condition_occurrence_id
,OMOP TNM Clin T Stage Measurement,,measurement,measurement_id,Generate Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,,,Skip Record,
,,,,measurement_concept_id,Fixed Value,N/A,N/A,4164336,SNOMED,,Clinical T category
,,,,measurement_date,Copy Value,N/A,N/A,{fixed_date},,,
,,,,measurement_event_id,Get Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,OMOP Primary Dx Condition,,Skip Record,
,,,,meas_event_field_concept_id,Fixed Value,N/A,N/A,1147127,CDM,,condition_occurrence.condition_occurrence_id
,,Primary Diagnosis - Clinical TNM T Stage (Code),,value_as_concept_id,Concept ID By Term,Primary Diagnosis,clinical_t_category,,,Skip Record,
,,Primary Diagnosis - Clinical TNM T Stage (Text From Source),,value_source_value,Copy Value,Primary Diagnosis,clinical_t_category,,,,
,OMOP TNM Clin N Stage Measurement,,measurement,measurement_id,Generate Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,,,Skip Record,
,,,,measurement_concept_id,Fixed Value,N/A,N/A,4164466,SNOMED,,Clinical N category
,,,,measurement_date,Copy Value,N/A,N/A,{fixed_date},,,
,,,,measurement_event_id,Get Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,OMOP Primary Dx Condition,,Skip Record,
,,,,meas_event_field_concept_id,Fixed Value,N/A,N/A,1147127,CDM,,condition_occurrence.condition_occurrence_id
,,Primary Diagnosis - Clinical TNM N Stage (Code),,value_as_concept_id,Concept ID By Term,Primary Diagnosis,clinical_n_category,,,Skip Record,
,,Primary Diagnosis - Clinical TNM N Stage (Text From Source),,value_source_value,Copy Value,Primary Diagnosis,clinical_n_category,,,,
,OMOP TNM Clin M Stage Measurement,,measurement,measurement_id,Generate Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,,,Skip Record,
,,,,measurement_concept_id,Fixed Value,N/A,N/A,4164182,SNOMED,,Clinical M category
,,,,measurement_date,Copy Value,N/A,N/A,{fixed_date},,,
,,,,measurement_event_id,Get Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,OMOP Primary Dx Condition,,Skip Record,
,,,,meas_event_field_concept_id,Fixed Value,N/A,N/A,1147127,CDM,,condition_occurrence.condition_occurrence_id
,,Primary Diagnosis - Clinical TNM M Stage (Code),,value_as_concept_id,Concept ID By Term,Primary Diagnosis,clinical_m_category,,,Skip Record,
,,Primary Diagnosis - Clinical TNM M Stage (Text From Source),,value_source_value,Copy Value,Primary Diagnosis,clinical_m_category,,,,
,OMOP Clinical Stage Measurement,,measurement,measurement_id,Generate Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,,,Skip Record,
,,Primary Diagnosis - Clinical Staging System (Code),,measurement_concept_id,Concept ID By Term,Primary Diagnosis,clinical_tumour_staging_system,,,Placeholder:{missing_concept_id_value},
,,Primary Diagnosis - Clinical Staging System (Text From Source),,measurement_source_value,Copy Value,Primary Diagnosis,clinical_tumour_staging_system,,,,
,,,,measurement_date,Copy Value,N/A,N/A,{fixed_date},,,
,,,,measurement_event_id,Get Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,OMOP Primary Dx Condition,,,
,,,,meas_event_field_concept_id,Fixed Value,N/A,N/A,1147127,CDM,,condition_occurrence.condition_occurrence_id
,,Primary Diagnosis - Clinical Stage Group (Code),,value_as_concept_id,Concept ID By Term,Primary Diagnosis,clinical_stage_group,,,,
,,Primary Diagnosis - Clinical Stage Group (Text From Source),,value_source_value,Copy Value,Primary Diagnosis,clinical_stage_group,,,,
,OMOP TNM Path T Stage Measurement,,measurement,measurement_id,Generate Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,,,Skip Record,
,,,,measurement_concept_id,Fixed Value,N/A,N/A,4293617,SNOMED,,Pathologic T category
,,,,measurement_date,Copy Value,N/A,N/A,{fixed_date},,,
,,,,measurement_event_id,Get Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,OMOP Primary Dx Condition,,Skip Record,
,,,,meas_event_field_concept_id,Fixed Value,N/A,N/A,1147127,CDM,,condition_occurrence.condition_occurrence_id
,,Primary Diagnosis - Pathological TNM T Stage (Code),,value_as_concept_id,Concept ID By Term,Primary Diagnosis,pathological_t_category,,,Skip Record,
,,Primary Diagnosis - Pathological TNM T Stage (Text From Source),,value_source_value,Copy Value,Primary Diagnosis,pathological_t_category,,,,
,OMOP TNM Path N Stage Measurement,,measurement,measurement_id,Generate Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,,,Skip Record,
,,,,measurement_concept_id,Fixed Value,N/A,N/A,4161174,SNOMED,,Pathologic N category
,,,,measurement_date,Copy Value,N/A,N/A,{fixed_date},,,
,,,,measurement_event_id,Get Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,OMOP Primary Dx Condition,,Skip Record,
,,,,meas_event_field_concept_id,Fixed Value,N/A,N/A,1147127,CDM,,condition_occurrence.condition_occurrence_id
,,Primary Diagnosis - Pathological TNM N Stage (Code),,value_as_concept_id,Concept ID By Term,Primary Diagnosis,pathological_n_category,,,Skip Record,
,,Primary Diagnosis - Pathological TNM N Stage (Text From Source),,value_source_value,Copy Value,Primary Diagnosis,pathological_n_category,,,,
,OMOP TNM Path M Stage Measurement,,measurement,measurement_id,Generate Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,,,Skip Record,
,,,,measurement_concept_id,Fixed Value,N/A,N/A,4154262,SNOMED,,Pathologic M category
,,,,measurement_date,Copy Value,N/A,N/A,{fixed_date},,,
,,,,measurement_event_id,Get Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,OMOP Primary Dx Condition,,Skip Record,
,,,,meas_event_field_concept_id,Fixed Value,N/A,N/A,1147127,CDM,,condition_occurrence.condition_occurrence_id
,,Primary Diagnosis - Pathological TNM M Stage (Code),,value_as_concept_id,Concept ID By Term,Primary Diagnosis,pathological_m_category,,,Skip Record,
,,Primary Diagnosis - Pathological TNM M Stage (Text From Source),,value_source_value,Copy Value,Primary Diagnosis,pathological_m_category,,,,
,OMOP Pathological Stage Measurement,,measurement,measurement_id,Generate Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,,,Skip Record,
,,Primary Diagnosis - Pathological Staging System (Code),,measurement_concept_id,Concept ID By Term,Primary Diagnosis,pathological_tumour_staging_system,,,Placeholder:{missing_concept_id_value},
,,Primary Diagnosis - Pathological Staging System (Text From Source),,measurement_source_value,Copy Value,Primary Diagnosis,pathological_tumour_staging_system,,,,
,,,,measurement_date,Copy Value,N/A,N/A,{fixed_date},,,
,,,,measurement_event_id,Get Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,OMOP Primary Dx Condition,,Skip Record,
,,,,meas_event_field_concept_id,Fixed Value,N/A,N/A,1147127,CDM,,condition_occurrence.condition_occurrence_id
,,Primary Diagnosis - Pathological Staging Group (Code),,value_as_concept_id,Concept ID By Term,Primary Diagnosis,pathological_stage_group,,,,
,,Primary Diagnosis - Pathological Staging Group (Text From Source),,value_source_value,Copy Value,Primary Diagnosis,pathological_stage_group,,,,
$.donors[].primary_diagnoses[].treatments[],OMOP Treatment Episode,,_global_vars,N/A,Save To Global Vars,Treatment,submitter_treatment_id,,,Skip Record,
,,,_global_vars,N/A,Save To Global Vars,Treatment,treatment_start_date,,,Placeholder:{missing_date_value},
,,,_global_vars,N/A,Save To Global Vars,Treatment,status_of_treatment,,,,
,,,episode,episode_id,Generate Unique ID,Treatment,submitter_treatment_id,,,Skip Record,
,,,,episode_concept_id,Fixed Value,N/A,N/A,32531,Episode,,Treatment Regimen
,,,,episode_source_concept_id,Fixed Value,N/A,N/A,0,,,
,,,,episode_object_concept_id,Fixed Value,N/A,N/A,0,,,
,,Cancer Treatment - Treatment Start Date,,episode_start_date,Calculate Date From Interval,Treatment,treatment_start_date,,,Placeholder:{missing_date_value},
,,Cancer Treatment - Treatment End Date,,episode_end_date,Calculate Date From Interval,Treatment,treatment_end_date,,,,
,,Cancer Treatment - Is Primary Treatment,,episode_number,Concept ID By Term,Treatment,is_primary_treatment,,,,
,OMOP Treatment Episode Intent Observation,,observation,observation_id,Generate Unique ID,Treatment,submitter_treatment_id,,,Skip Record,
,,,,observation_concept_id,Fixed Value,N/A,N/A,4133895,SNOMED,,Therapeutic intent
,,,,observation_date,Calculate Date From Interval,Treatment,treatment_start_date,,,Placeholder:{missing_date_value},
,,,,observation_event_id,Get Unique ID,Treatment,submitter_treatment_id,OMOP Treatment Episode,,Skip Record,
,,,,obs_event_field_concept_id,Fixed Value,N/A,N/A,798885,CDM,,episode.episode_id
,,Cancer Treatment - Treatment Intent (Code),,value_as_concept_id,Concept ID By Term,Treatment,treatment_intent,,,Skip Record,
,,Cancer Treatment - Treatment Intent (Text From Source),,value_source_value,Copy Value,Treatment,treatment_intent,,,,
,OMOP Treatment Episode Response Observation,,observation,observation_id,Generate Unique ID,Treatment,submitter_treatment_id,,,Skip Record,
,,,,observation_concept_id,Fixed Value,N/A,N/A,4082405,SNOMED,,Response to treatment
,,Cancer Treatment - Response To Treatment (Code),,value_as_concept_id,Concept ID By Term,Treatment,response_to_treatment,,,Placeholder:{missing_concept_id_value},
,,Cancer Treatment - Response To Treatment (Text From Source),,value_source_value,Copy Value,Treatment,response_to_treatment,,,,
,,,,observation_date,Calculate Date From Interval,Treatment,treatment_start_date,,,Placeholder:{missing_date_value},
,,,,observation_event_id,Get Unique ID,Treatment,submitter_treatment_id,OMOP Treatment Episode,,Skip Record,
,,,,obs_event_field_concept_id,Fixed Value,N/A,N/A,798885,CDM,,episode.episode_id
,,Cancer Treatment - Response To Treatment Criteria Method (Code),,qualifier_concept_id,Concept ID By Term,Treatment,response_to_treatment_criteria_method,,,,
,,Cancer Treatment - Response To Treatment Criteria Method (Text From Source),,qualifier_source_value,Copy Value,Treatment,response_to_treatment_criteria_method,,,,
$.donors[].primary_diagnoses[].treatments[].treatment_type[],OMOP Treatment Episode Procedure Occurrence,,procedure_occurrence,procedure_occurrence_id,Generate Unique ID From Path,Treatment,submitter_treatment_id,,,Skip Record,
,,,,procedure_concept_id,Fixed Value,N/A,N/A,0,,,
,,Cancer Treatment - Treatment Type (Text From Source),,procedure_source_value,Copy Node,N/A,N/A,,,,
,,,,procedure_date,Calculate Date From Interval,N/A,N/A,{Treatment.treatment_start_date},,Placeholder:{missing_date_value},
,,Cancer Treatment - Treatment Status (Code),,modifier_concept_id,Concept ID By Term,N/A,N/A,{Treatment.status_of_treatment},,,
,,Cancer Treatment - Treatment Status (Text From Source),,modifier_source_value,Copy Value,N/A,N/A,{Treatment.status_of_treatment},,,
,OMOP Treatment Episode / Procedure Occurrence Event,,episode_event,episode_id,Get Unique ID,Treatment,submitter_treatment_id,OMOP Treatment Episode,,Skip Record,
,,,,event_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Treatment Episode Procedure Occurrence,,Skip Record,
,,,,episode_event_field_concept_id,Fixed Value,N/A,N/A,1147082,CDM,,procedure_occurrence.procedure_occurrence_id
$.donors[].primary_diagnoses[].treatments[].systemic_therapies[],OMOP Systemic Therapy Episode,,episode,episode_id,Generate Unique ID From Path,Treatment,submitter_treatment_id,,,Skip Record,
,,,,episode_concept_id,Fixed Value,N/A,N/A,32941,Episode,,Cancer Drug Treatment
,,,,episode_source_concept_id,Fixed Value,N/A,N/A,0,,,
,,,,episode_object_concept_id,Concept ID By Term,Systemic Therapy,systemic_therapy_type,,,Placeholder:{missing_concept_id_value},
,,,,episode_start_date,Calculate Date From Interval,Systemic Therapy,start_date,,,Placeholder:{missing_date_value},
,,,,episode_end_date,Calculate Date From Interval,Systemic Therapy,end_date,,,,
,OMOP Treatment Episode / Systemic Therapy Episode Event,,episode_event,episode_id,Get Unique ID,Treatment,submitter_treatment_id,OMOP Treatment Episode,,Skip Record,
,,,,event_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Systemic Therapy Episode,,Skip Record,
,,,,episode_event_field_concept_id,Fixed Value,N/A,N/A,798885,CDM,,episode.episode_id
,OMOP Systemic Therapy Procedure,,procedure_occurrence,procedure_occurrence_id,Generate Unique ID From Path,Treatment,submitter_treatment_id,,,Skip Record,
,,Systemic Therapy - Treatment Type (Code),,procedure_concept_id,Concept ID By Term,Systemic Therapy,systemic_therapy_type,,,Placeholder:{missing_concept_id_value},
,,Systemic Therapy - Treatment Type (Text From Source),,procedure_source_value,Copy Value,Systemic Therapy,systemic_therapy_type,,,,
,,,,procedure_date,Calculate Date From Interval,Systemic Therapy,start_date,,,Placeholder:{missing_date_value},
,,Systemic Therapy - Number Of Cycles,,quantity,Copy Value,Systemic Therapy,number_of_cycles,,,,
,OMOP Systemic Therapy Episode / Procedure Event,,episode_event,episode_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Systemic Therapy Episode,,Skip Record,
,,,,event_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Systemic Therapy Procedure,,Skip Record,
,,,,episode_event_field_concept_id,Fixed Value,N/A,N/A,1147082,CDM,,procedure_occurrence.procedure_occurrence_id
,OMOP Systemic Therapy Dose Given Drug Exposure,,_global_vars,{Systemic Therapy.drug_reference_database},Copy Value,Systemic Therapy,drug_reference_database,,,Placeholder String,
,,,drug_exposure,drug_exposure_id,Generate Unique ID From Path,Treatment,submitter_treatment_id,,,Skip Record,
,,,,drug_type_concept_id,Fixed Value,N/A,N/A,32833,Type Concept,,EHR order
,,,,drug_concept_id,Concept ID By Code,Systemic Therapy,drug_reference_identifier,,{Systemic Therapy.drug_reference_database},Placeholder:{missing_concept_id_value},
,,"Systemic Therapy - Drug Reference Database / 
Systemic Therapy - Drug Reference Identifier /
Systemic Therapy - Drug Name",,drug_source_value,Concatenate Values,Systemic Therapy,"drug_reference_database, drug_reference_identifier, drug_name",,,,
,,Systemic Therapy - Start Date,,drug_exposure_start_date,Calculate Date From Interval,Systemic Therapy,start_date,,,Placeholder:{missing_date_value},
,,Systemic Therapy - End Date,,drug_exposure_end_date,Calculate Date From Interval,Systemic Therapy,end_date,,,Placeholder:{missing_date_value},
,,Systemic Therapy - Dose Units,,dose_unit_source_value,Copy Value,Systemic Therapy,drug_dose_units,,,,
,,Systemic Therapy - Actual Cumulative Dose,,quantity,Copy Value,Systemic Therapy,actual_cumulative_drug_dose,,,,
,OMOP Systemic Therapy Episode / Dose Given Drug Exposure Event,,episode_event,episode_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Systemic Therapy Episode,,Skip Record,
,,,,event_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Systemic Therapy Dose Given Drug Exposure,,Skip Record,
,,,,episode_event_field_concept_id,Fixed Value,N/A,N/A,1147094,CDM,,drug_exposure.drug_exposure_id
,OMOP Systemic Therapy Dose Prescribed Drug Exposure,,drug_exposure,drug_exposure_id,Generate Unique ID From Path,Treatment,submitter_treatment_id,,,Skip Record,
,,,,drug_type_concept_id,Fixed Value,N/A,N/A,32838,Type Concept,,EHR prescription
,,,,drug_concept_id,Concept ID By Code,Systemic Therapy,drug_reference_identifier,,{Systemic Therapy.drug_reference_database},Placeholder:{missing_concept_id_value},
,,"Systemic Therapy - Drug Reference Database / 
Systemic Therapy - Drug Reference Identifier /
Systemic Therapy - Drug Name",,drug_source_value,Concatenate Values,Systemic Therapy,"drug_reference_database, drug_reference_identifier, drug_name",,,,
,,Systemic Therapy - Start Date,,drug_exposure_start_date,Calculate Date From Interval,Systemic Therapy,start_date,,,Placeholder:{missing_date_value},
,,Systemic Therapy - End Date,,drug_exposure_end_date,Calculate Date From Interval,Systemic Therapy,end_date,,,Placeholder:{missing_date_value},
,,Systemic Therapy - Dose Units,,dose_unit_source_value,Copy Value,Systemic Therapy,drug_dose_units,,,,
,,Systemic Therapy - Prescribed Cumulative Dose,,quantity,Copy Value,Systemic Therapy,prescribed_cumulative_drug_dose,,,,
,OMOP Systemic Therapy Episode / Dose Prescribed Drug Exposure Event,,episode_event,episode_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Systemic Therapy Episode,,Skip Record,
,,,,event_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Systemic Therapy Dose Prescribed Drug Exposure,,Skip Record,
,,,,episode_event_field_concept_id,Fixed Value,N/A,N/A,1147094,CDM,,drug_exposure.drug_exposure_id
,MOHCCN Systemic Therapy Incomplete Modeling,,,,,Systemic Therapy,days_per_cycle,,,,
$.donors[].primary_diagnoses[].treatments[].radiations[],OMOP Radiation Episode,,episode,episode_id,Generate Unique ID From Path,Treatment,submitter_treatment_id,,,Skip Record,
,,,,episode_concept_id,Fixed Value,N/A,N/A,32940,Episode,,Cancer Radiotherapy
,,,,episode_source_concept_id,Fixed Value,N/A,N/A,0,,,
,,,,episode_object_concept_id,Concept ID By Term,Radiation,radiation_therapy_modality,,,Placeholder:{missing_concept_id_value},
,,,,episode_start_date,Calculate Date From Interval,N/A,N/A,{Treatment.treatment_start_date},,Placeholder:{missing_date_value},
,OMOP Treatment Episode / Radiation Episode Event,,episode_event,episode_id,Get Unique ID,Treatment,submitter_treatment_id,OMOP Treatment Episode,,Skip Record,
,,,,event_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Radiation Episode,,Skip Record,
,,,,episode_event_field_concept_id,Fixed Value,N/A,N/A,798885,CDM,,episode.episode_id
,OMOP Radiation Procedure,,procedure_occurrence,procedure_occurrence_id,Generate Unique ID From Path,Treatment,submitter_treatment_id,,,Skip Record,
